Gm#,Date,,Tm,AwayTeam,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,HomeGame,Index,year
12,201704160,boxscore,NYY,STL,W,9,3,,8-4,2, 0.5,Pineda,Wainwright,,3:17,N,"31,706",+++++++,True,173,2017
13,201704160,boxscore,LAD,ARI,L,1,3,,7-6,3, 1.5,Walker,Hill,Rodney,3:22,D,"39,822",-,True,174,2017
12,201704160,boxscore,CHC,PIT,L,1,6,,6-6,3, 1.5,Taillon,Uehara,,3:02,D,"39,422",---,True,175,2017
11,201704160,boxscore,ATL,SDP,W,9,2,,5-6,4, 1.5,Colon,Cahill,,2:46,D,"37,147",++++,True,176,2017
13,201704160,boxscore,SEA,TEX,W-wo,8,7,,5-8,4, 3.5,Diaz,Dyson,,3:39,D,"19,678",+++,True,177,2017
14,201704160,boxscore,SFG,COL,L,3,4,,5-9,5, 4.0,Senzatela,Samardzija,Holland,2:46,D,"41,455",--,True,178,2017
12,201704160,boxscore,WSN,PHI,W-wo,6,4,,7-5,1, Tied,Kelley,Benoit,,3:11,D,"29,774",+,True,179,2017
13,201704160,boxscore,CIN,MIL,L,2,4,,8-5,1,up 1.0,Peralta,Romano,Feliz,2:56,D,"12,625",-,True,180,2017
12,201704160,boxscore,MIA,NYM,W-wo,4,2,,7-5,1, Tied,Phelps,Reed,,2:58,D,"20,028",+++,True,181,2017
12,201704160,boxscore,TOR,BAL,L,4,11,,2-10,5, 6.5,Bundy,Happ,,3:30,D,"38,188",-,True,182,2017
12,201704160,boxscore,BOS,TBR,W,7,5,,7-5,3, 1.5,Kelly,Farquhar,Kimbrel,3:46,D,"36,209",++,True,183,2017
12,201704160,boxscore,MIN,CHW,L,1,3,10,7-5,2, 1.0,Jones,Pressly,Robertson,3:15,D,"19,511",-,True,184,2017
13,201704170,boxscore,MIN,CLE,L,1,3,,7-6,2, 1.5,Salazar,Gibson,Allen,2:58,N,"16,961",--,True,185,2017
12,201704170,boxscore,ATL,SDP,W-wo,5,4,,6-6,4, 1.0,Johnson,Maurer,,2:48,N,"24,516",+++++,True,186,2017
13,201704170,boxscore,NYY,CHW,W,7,4,,9-4,1, Tied,Montgomery,Holland,Chapman,2:49,N,"28,181",++++++++,True,187,2017
13,201704170,boxscore,BOS,TBR,W,4,3,,8-5,3, 1.0,Wright,Snell,Kimbrel,3:07,D,"37,318",+++,True,188,2017
13,201704170,boxscore,HOU,LAA,W,3,0,,9-4,1,up 3.5,Morton,Chavez,Giles,2:36,N,"23,501",+++++,True,189,2017
14,201704170,boxscore,LAD,ARI,L,2,4,,7-7,3, 2.0,Hoover,Hatcher,Rodney,3:07,N,"35,448",--,True,190,2017
